Frame,Src,Dst,TCP Stream,Src Port,Dst Port,Topic,Topic Length,Msg Len,QoS,Diff
1102,10.0.2.15,5.196.78.28,21,42665,1883,hospital/facility3/area3,24,28,2,4
1643,10.0.2.15,5.196.78.28,12,56285,1883,university/facility3/floor4/light,33,37,2,4
1838,10.0.2.15,35.158.43.69,1,36777,1883,metaverse/room2/room2,21,25,1,4
1840,10.0.2.15,35.158.43.69,1,36777,1883,metaverse/department2/section1,30,34,2,4
1881,10.0.2.15,18.192.151.104,43,49877,1883,hospital/building3,18,22,2,4
2865,10.0.2.15,18.192.151.104,22,38207,1883,metaverse/department2,21,23,0,2
3017,10.0.2.15,18.192.151.104,22,38207,1883,university/facility3/floor4/temperature,39,43,2,4
3053,10.0.2.15,5.196.78.28,21,42665,1883,factory/facility3/section1,26,30,2,4
3103,10.0.2.15,5.196.78.28,12,56285,1883,university/facility3/floor4,27,31,2,4
3453,10.0.2.15,18.192.151.104,22,38207,1883,metaverse/room2,15,19,2,4
3550,10.0.2.15,18.192.151.104,22,38207,1883,university/facility3/area3/pollution,36,40,1,4
3595,10.0.2.15,18.192.151.104,43,49877,1883,factory/department2,19,23,2,4
3800,10.0.2.15,18.192.151.104,22,38207,1883,hospital/building3/floor4/hydraulic_valve,41,45,1,4
3892,10.0.2.15,35.158.43.69,1,36777,1883,metaverse/building3/floor4,26,30,1,4
3992,10.0.2.15,35.158.43.69,1,36777,1883,university/room2/floor4/temperature,35,39,1,4
4018,10.0.2.15,18.192.151.104,22,38207,1883,metaverse/facility3/room2/humidity,34,36,0,2
4116,10.0.2.15,35.158.43.69,1,36777,1883,factory/building3/room2,23,25,0,2
4212,10.0.2.15,5.196.78.28,21,42665,1883,university/facility3,20,24,1,4
4257,10.0.2.15,5.196.78.28,21,42665,1883,hospital/room2/section1,23,27,1,4
4642,10.0.2.15,35.158.43.69,1,36777,1883,university/facility3/section1/temperature,41,43,0,2
4678,10.0.2.15,35.158.43.69,1,36777,1883,metaverse/facility3/floor4/temperature,38,40,0,2
4753,10.0.2.15,35.158.43.69,1,36777,1883,hospital/department2/area3/pollution,36,38,0,2
5015,10.0.2.15,35.158.43.69,1,36777,1883,hospital/department2/section1/light,35,37,0,2
5418,10.0.2.15,35.158.43.69,1,36777,1883,hospital/department2,20,22,0,2
5474,10.0.2.15,5.196.78.28,21,42665,1883,hospital/room2/floor4,21,23,0,2
5498,10.0.2.15,35.158.43.69,1,36777,1883,university/room2/section1,25,27,0,2
5735,10.0.2.15,35.158.43.69,1,36777,1883,metaverse/room2,15,17,0,2
6072,10.0.2.15,18.192.151.104,43,49877,1883,hospital/department2/section1,29,31,0,2
6503,10.0.2.15,35.158.43.69,1,36777,1883,university/facility3/floor4,27,29,0,2
6584,10.0.2.15,18.192.151.104,22,38207,1883,university/room2,16,18,0,2
6709,10.0.2.15,18.192.151.104,43,49877,1883,university/facility3/section1/hydraulic_valve,45,47,0,2
6739,10.0.2.15,35.158.43.69,1,36777,1883,metaverse/facility3,19,21,0,2
6812,10.0.2.15,5.196.78.28,21,42665,1883,metaverse/building3/floor4,26,28,0,2
7248,10.0.2.15,18.192.151.104,43,49877,1883,factory/room2/area3,19,21,0,2
7465,10.0.2.15,18.192.151.104,43,49877,1883,factory/facility3/floor4/humidity,33,35,0,2
7523,10.0.2.15,5.196.78.28,21,42665,1883,factory/facility3/floor4,24,26,0,2
7525,10.0.2.15,18.192.151.104,22,38207,1883,hospital/facility3,18,20,0,2
7583,10.0.2.15,18.192.151.104,43,49877,1883,university/facility3,20,22,0,2
7793,10.0.2.15,5.196.78.28,21,42665,1883,hospital/department2/area3/deposit,34,36,0,2
7874,10.0.2.15,5.196.78.28,21,42665,1883,university/department2/floor4/temperature,41,43,0,2
7963,10.0.2.15,35.158.43.69,1,36777,1883,factory/building3/area3,23,25,0,2
7985,10.0.2.15,5.196.78.28,21,42665,1883,hospital/building3/section1,27,29,0,2
8044,10.0.2.15,35.158.43.69,1,36777,1883,metaverse/room2/floor4,22,24,0,2
8255,10.0.2.15,35.158.43.69,1,36777,1883,hospital/room2/floor4,21,23,0,2
