MQTT Version,CONNECT Frame,Stream,Client ID,Client ID Length,Broker IP,Publish Frame,Topic,Message Missing,Counted for CQ6a,Counted for CQ6b
3,19,1,pcbtjyj,7,35.158.43.69,1838,metaverse/room2/room2,Yes,Yes,No
3,19,1,pcbtjyj,7,35.158.43.69,1840,metaverse/department2/section1,Yes,Yes,No
3,19,1,pcbtjyj,7,35.158.43.69,3892,metaverse/building3/floor4,Yes,Yes,No
3,19,1,pcbtjyj,7,35.158.43.69,3992,university/room2/floor4/temperature,Yes,Yes,No
3,19,1,pcbtjyj,7,35.158.43.69,4116,factory/building3/room2,Yes,Yes,No
3,19,1,pcbtjyj,7,35.158.43.69,4642,university/facility3/section1/temperature,Yes,Yes,No
3,19,1,pcbtjyj,7,35.158.43.69,4678,metaverse/facility3/floor4/temperature,Yes,Yes,No
3,19,1,pcbtjyj,7,35.158.43.69,4753,hospital/department2/area3/pollution,Yes,Yes,No
3,19,1,pcbtjyj,7,35.158.43.69,5015,hospital/department2/section1/light,Yes,Yes,No
3,19,1,pcbtjyj,7,35.158.43.69,5418,hospital/department2,Yes,Yes,No
3,19,1,pcbtjyj,7,35.158.43.69,5498,university/room2/section1,Yes,Yes,No
3,19,1,pcbtjyj,7,35.158.43.69,5735,metaverse/room2,Yes,Yes,No
3,19,1,pcbtjyj,7,35.158.43.69,6503,university/facility3/floor4,Yes,Yes,No
3,19,1,pcbtjyj,7,35.158.43.69,6739,metaverse/facility3,Yes,Yes,No
3,19,1,pcbtjyj,7,35.158.43.69,7963,factory/building3/area3,Yes,Yes,No
3,19,1,pcbtjyj,7,35.158.43.69,8044,metaverse/room2/floor4,Yes,Yes,No
3,19,1,pcbtjyj,7,35.158.43.69,8255,hospital/room2/floor4,Yes,Yes,No
3,19,1,pcbtjyj,7,35.158.43.69,8947,hospital/room2/room2,Yes,Yes,No
3,19,1,pcbtjyj,7,35.158.43.69,10292,hospital/department2/section1/temperature,Yes,Yes,No
3,19,1,pcbtjyj,7,35.158.43.69,10978,university/building3/area3/temperature,Yes,Yes,No
