No.,Timestamp,Sequence Number,Attribute,Status,Data Type,Data Value
1,1778282327,235,Active Power,Success,16-Bit Signed Integer,0
2,1778282327,235,RMS Current,Success,16-Bit Unsigned Integer,0
3,1778282327,235,RMS Voltage,Success,16-Bit Unsigned Integer,220
4,1778282378,194,Active Power,Success,16-Bit Signed Integer,0
5,1778282378,194,RMS Current,Success,16-Bit Unsigned Integer,0
6,1778282378,194,RMS Voltage,Success,16-Bit Unsigned Integer,221
7,1778282388,124,Active Power,Success,16-Bit Signed Integer,0
8,1778282388,124,RMS Current,Success,16-Bit Unsigned Integer,0
9,1778282388,124,RMS Voltage,Success,16-Bit Unsigned Integer,219
10,1778282404,108,Active Power,Success,16-Bit Signed Integer,0
11,1778282404,108,RMS Current,Success,16-Bit Unsigned Integer,0
12,1778282404,108,RMS Voltage,Success,16-Bit Unsigned Integer,218
13,1778282417,249,Active Power,Success,16-Bit Signed Integer,0
14,1778282417,249,RMS Current,Success,16-Bit Unsigned Integer,0
15,1778282417,249,RMS Voltage,Success,16-Bit Unsigned Integer,221
16,1778282427,164,Active Power,Success,16-Bit Signed Integer,0
17,1778282427,164,RMS Current,Success,16-Bit Unsigned Integer,0
18,1778282427,164,RMS Voltage,Success,16-Bit Unsigned Integer,220
19,1778282435,241,Active Power,Success,16-Bit Signed Integer,0
20,1778282435,241,RMS Current,Success,16-Bit Unsigned Integer,0
21,1778282435,241,RMS Voltage,Success,16-Bit Unsigned Integer,221
22,1778282463,243,Active Power,Success,16-Bit Signed Integer,0
23,1778282463,243,RMS Current,Success,16-Bit Unsigned Integer,0
24,1778282463,243,RMS Voltage,Success,16-Bit Unsigned Integer,219
25,1778282471,60,Active Power,Success,16-Bit Signed Integer,0
26,1778282471,60,RMS Current,Success,16-Bit Unsigned Integer,0
27,1778282471,60,RMS Voltage,Success,16-Bit Unsigned Integer,221
28,1778282496,178,Active Power,Success,16-Bit Signed Integer,0
29,1778282496,178,RMS Current,Success,16-Bit Unsigned Integer,0
30,1778282496,178,RMS Voltage,Success,16-Bit Unsigned Integer,221
